message,Predicted Label
as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press  to copy your friends callertune,Not Spam
winner as a valued network customer you have been selected to receivea  prize reward to claim call  claim code kl valid  hours only,Spam
had your mobile  months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on ,Spam
im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,Not Spam
six chances to win cash from  to  pounds txt csh and send to  cost pday days  tsandcs apply reply hl  info,Spam
urgent you have won a  week free membership in our  prize jackpot txt the word claim to no  tc wwwdbuknet lccltd pobox ldnwarw,Spam
ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,Not Spam
i have a date on sunday with will,Not Spam
watching cartoon listening music amp at eve had to go temple amp church what about u,Not Spam
do you mind if i ask what happened you dont have to say if it is uncomfortable,Not Spam
private your  account statement for shows  unredeemed s i m points call  identifier code  expires ,Not Spam
no prob i will send to your email,Not Spam
you have won  cash or a  prize to claim call tc rstm sw ss ppm,Spam
thats cool sometimes slow and gentle sonetimes rough and hard ,Not Spam
im gonna say no sorry i would but as normal am starting to panic about time sorry again are you seeing on tuesday,Not Spam
wait do you know if wesleys in town i bet she does hella drugs,Not Spam
 and  are premium phone services call ,Not Spam
hope you are feeling great pls fill me in abiola,Not Spam
i though we shd go out n have some fun so bar in town or something  sound ok,Not Spam
 go to write msg  put on dictionary mode cover the screen with hand press  ltgt  gently remove ur hand its interesting,Not Spam
bears pic nick and tom pete and  dick in fact all types try gay chat with photo upload call  pmin  stop texts call ,Spam
 new mobiles from  must go txt nokia to no   collect yours todayfrom only  wwwtcbiz optout gbpmtmsg txtauction,Spam
were finally ready fyi,Not Spam
auntie huai juan never pick up her phone,Not Spam
double mins  double txt   price linerental on latest orange bluetooth mobiles call mobileupd for the very latest offers  or calloptoutlf,Spam
ya tel wats ur problem,Not Spam
no  nokia tone  ur mob every week just txt nok to  st tone free  so get txtin now and tell ur friends ptone  reply hl info,Spam
i dnt wnt to tlk wid u,Not Spam
we spend our days waiting for the ideal path to appear in front of us but what we forget is paths are made by walking not by waiting goodnight,Not Spam
its ok my arm is feeling weak cuz i got a shot so we can go another time,Not Spam
please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday evei already see in netno ticket availablei want to book ticket through tackle ,Not Spam
hi its in durban are you still on this number,Not Spam
ic there are a lotta childporn cars then,Not Spam
had your contract mobile  mnths latest motorola nokia etc all free double mins  text on orange tariffs text yes for callback no to remove from records,Spam
no i was trying it all weekend v,Not Spam
you know wot people wear t shirts jumpers hat belt is all we know we r at cribbs,Not Spam
cool what time you think you can get here,Not Spam
wen did you get so spiritual and deep thats great,Not Spam
have a safe trip to nigeria wish you happiness and very soon company to share moments with,Not Spam
hahahause your brain dear,Not Spam
well keep in mind ive only got enough gas for one more round trip barring a sudden influx of cash,Not Spam
yeh indians was nice tho it did kane me off a bit he he we shud go out  a drink sometime soon mite hav  go  da works  a laugh soon love pete x x,Not Spam
yes i have so thats why u texted pshewmissing you so much,Not Spam
no i meant the calculation is the same that  ltgt units at  ltgt  this school is really expensive have you started practicing your accent because its important and have you decided if you are doing years of dental school or if youll just do the nmde exam,Not Spam
sorry ill call later,Not Spam
